Time,State_of_Charge
2024-01-04 10:30:00,91.98
2024-01-04 10:36:00,91.02
2024-01-04 10:42:00,90.07
2024-01-04 10:48:00,89.08
2024-01-04 10:54:00,88.22
2024-01-04 11:00:00,87.48
2024-01-04 11:06:00,86.22
2024-01-04 11:12:00,85.45
2024-01-04 11:18:00,84.69
2024-01-04 11:24:00,83.74
2024-01-04 11:30:00,82.98
2024-01-04 11:36:00,82.23
2024-01-04 11:42:00,81.45
2024-01-04 11:48:00,80.63
2024-01-04 11:54:00,79.81
2024-01-04 12:00:00,78.08
2024-01-04 12:06:00,76.87
2024-01-04 12:12:00,76.03
2024-01-04 12:18:00,75.23
2024-01-04 12:24:00,74.33
2024-01-04 12:30:00,73.53
2024-01-04 12:36:00,72.72
2024-01-04 12:42:00,72.47
2024-01-04 12:48:00,72.18
2024-01-04 12:54:00,71.83
2024-01-04 13:00:00,70.77
2024-01-04 13:06:00,70.54
2024-01-04 13:12:00,70.04
2024-01-04 13:18:00,69.81
2024-01-04 13:24:00,69.59
2024-01-04 13:30:00,69.33
2024-01-04 13:36:00,69.08
2024-01-04 13:42:00,68.32
2024-01-04 13:48:00,68.06
2024-01-04 13:54:00,67.79
2024-01-04 14:00:00,67.52
2024-01-04 14:06:00,66.45
2024-01-04 14:12:00,65.83
2024-01-04 14:18:00,65.57
2024-01-04 14:24:00,65.31
2024-01-04 14:30:00,65.04
2024-01-04 14:36:00,63.92
2024-01-04 14:42:00,62.81
2024-01-04 14:48:00,62.41
2024-01-04 14:54:00,61.59
2024-01-04 15:00:00,60.69
2024-01-04 15:06:00,60.4
2024-01-04 15:12:00,60.16
2024-01-04 15:18:00,59.92
2024-01-04 15:24:00,59.68
2024-01-04 15:30:00,59.45
2024-01-04 15:36:00,59.15
2024-01-04 15:42:00,58.41
2024-01-04 15:48:00,57.03
2024-01-04 15:54:00,55.89
2024-01-04 16:00:00,55.16
2024-01-04 16:06:00,54.43
2024-01-04 16:12:00,52.85
2024-01-04 16:18:00,51.29
2024-01-04 16:24:00,50.55
2024-01-04 16:30:00,49.78
2024-01-04 16:36:00,49.03
2024-01-04 16:42:00,47.69
2024-01-04 16:48:00,46.51
2024-01-04 16:54:00,45.33
2024-01-04 17:00:00,44.15
2024-01-04 17:06:00,42.96
2024-01-04 17:12:00,41.78
2024-01-04 17:18:00,40.59
2024-01-04 17:24:00,39.4
2024-01-04 17:30:00,37.68
2024-01-04 17:36:00,35.85
2024-01-04 17:42:00,33.97
2024-01-04 17:48:00,32.8
2024-01-04 17:54:00,31.63
2024-01-04 18:00:00,30.39
2024-01-04 18:06:00,30.06
2024-01-04 18:12:00,29.72
2024-01-04 18:18:00,28.0
2024-01-04 18:24:00,35.0
2024-01-04 18:30:00,45.0
2024-01-04 18:36:00,55.0
2024-01-04 18:42:00,65.0
2024-01-04 18:48:00,75.0
2024-01-04 18:54:00,80.0
2024-01-04 19:00:00,85.0
2024-01-04 19:06:00,87.0
2024-01-04 19:12:00,88.5
2024-01-04 19:18:00,90.0
2024-01-04 19:24:00,91.0
2024-01-04 19:30:00,91.5
2024-01-04 19:36:00,92.0
2024-01-04 19:42:00,92.33
2024-01-04 19:48:00,92.66
2024-01-04 19:54:00,93.0
2024-01-04 20:00:00,93.25
2024-01-04 20:06:00,93.5
2024-01-04 20:12:00,93.75
2024-01-04 20:18:00,94.0
2024-01-04 20:24:00,94.2
2024-01-04 20:30:00,94.4
2024-01-04 20:36:00,94.6
2024-01-04 20:42:00,94.8
2024-01-04 20:48:00,95.0
2024-01-04 20:54:00,95.2
2024-01-04 21:00:00,95.4
2024-01-04 21:06:00,95.6
2024-01-04 21:12:00,95.8
2024-01-04 21:18:00,96.0
2024-01-04 21:24:00,96.2
2024-01-04 21:30:00,96.4
2024-01-04 21:36:00,96.6
2024-01-04 21:42:00,96.8
2024-01-04 21:48:00,97.0
2024-01-04 21:54:00,97.2
2024-01-04 22:00:00,97.4
2024-01-04 22:06:00,97.6
2024-01-04 22:12:00,97.8
2024-01-04 22:18:00,98.0
2024-01-04 22:24:00,98.2
2024-01-04 22:30:00,98.4
2024-01-04 22:36:00,98.6
2024-01-04 22:42:00,98.8
2024-01-04 22:48:00,99.0
2024-01-04 22:54:00,99.1
2024-01-04 23:00:00,99.2
2024-01-04 23:06:00,99.3
2024-01-04 23:12:00,99.4
